 ell ,  cell_SW ,  cell_ISW ,  cell_DOP , cell_POL , 
595 , 468.006 , 2.90166 , 372.129 , 53.616 , 
596 , 468.117 , 2.90249 , 370.859 , 53.7747 , 
597 , 468.362 , 2.90349 , 369.572 , 53.946 , 
598 , 468.742 , 2.90465 , 368.267 , 54.1297 , 
599 , 469.261 , 2.90596 , 366.945 , 54.3261 , 
600 , 469.92 , 2.90742 , 365.606 , 54.535 , 
601 , 470.722 , 2.90902 , 364.252 , 54.7565 , 
602 , 471.666 , 2.91077 , 362.881 , 54.9904 , 
603 , 472.751 , 2.91266 , 361.495 , 55.2366 , 
604 , 473.978 , 2.91468 , 360.093 , 55.495 , 
605 , 475.344 , 2.91685 , 358.677 , 55.7653 , 
606 , 476.85 , 2.91915 , 357.246 , 56.0474 , 
607 , 478.494 , 2.92159 , 355.801 , 56.3411 , 
608 , 480.276 , 2.92416 , 354.342 , 56.6462 , 
609 , 482.195 , 2.92687 , 352.87 , 56.9626 , 
610 , 484.25 , 2.92971 , 351.385 , 57.29 , 
611 , 486.441 , 2.93267 , 349.888 , 57.6284 , 
612 , 488.766 , 2.93576 , 348.378 , 57.9774 , 
613 , 491.225 , 2.93898 , 346.856 , 58.3369 , 
614 , 493.816 , 2.94232 , 345.323 , 58.7068 , 
615 , 496.539 , 2.94579 , 343.779 , 59.0867 , 
616 , 499.392 , 2.94937 , 342.225 , 59.4765 , 
617 , 502.376 , 2.95307 , 340.661 , 59.876 , 
618 , 505.488 , 2.95689 , 339.086 , 60.285 , 
619 , 508.727 , 2.96082 , 337.503 , 60.7032 , 
620 , 512.093 , 2.96487 , 335.911 , 61.1304 , 
621 , 515.585 , 2.96902 , 334.31 , 61.5665 , 
622 , 519.201 , 2.97329 , 332.701 , 62.0111 , 
623 , 522.94 , 2.97766 , 331.085 , 62.4642 , 
624 , 526.801 , 2.98213 , 329.462 , 62.9253 , 
625 , 530.783 , 2.98671 , 327.833 , 63.3943 , 
626 , 534.884 , 2.99138 , 326.197 , 63.871 , 
627 , 539.104 , 2.99615 , 324.556 , 64.355 , 
628 , 543.44 , 3.00102 , 322.91 , 64.8462 , 
629 , 547.893 , 3.00598 , 321.259 , 65.3443 , 
630 , 552.46 , 3.01103 , 319.604 , 65.8491 , 
631 , 557.14 , 3.01617 , 317.946 , 66.3602 , 
632 , 561.931 , 3.02139 , 316.284 , 66.8774 , 
633 , 566.833 , 3.0267 , 314.62 , 67.4005 , 
634 , 571.844 , 3.03209 , 312.954 , 67.9292 , 
635 , 576.962 , 3.03755 , 311.286 , 68.4632 , 
636 , 582.186 , 3.04309 , 309.617 , 69.0022 , 
637 , 587.514 , 3.04871 , 307.948 , 69.546 , 
638 , 592.946 , 3.05439 , 306.279 , 70.0942 , 
639 , 598.478 , 3.06014 , 304.611 , 70.6466 , 
640 , 604.11 , 3.06595 , 302.944 , 71.2029 , 
641 , 609.84 , 3.07183 , 301.278 , 71.7628 , 
642 , 615.667 , 3.07776 , 299.615 , 72.3259 , 
643 , 621.588 , 3.08375 , 297.955 , 72.892 , 
644 , 627.602 , 3.08979 , 296.299 , 73.4608 , 
645 , 633.708 , 3.09588 , 294.646 , 74.0319 , 
646 , 639.903 , 3.10202 , 292.998 , 74.605 , 
647 , 646.185 , 3.10821 , 291.356 , 75.1799 , 
648 , 652.554 , 3.11443 , 289.719 , 75.7561 , 
649 , 659.007 , 3.12069 , 288.089 , 76.3334 , 
650 , 665.541 , 3.12698 , 286.466 , 76.9114 , 
651 , 672.157 , 3.13331 , 284.851 , 77.4898 , 
652 , 678.85 , 3.13966 , 283.244 , 78.0685 , 
653 , 685.618 , 3.14605 , 281.645 , 78.6471 , 
654 , 692.461 , 3.15246 , 280.054 , 79.2255 , 
655 , 699.374 , 3.15889 , 278.472 , 79.8036 , 
656 , 706.355 , 3.16534 , 276.899 , 80.381 , 
657 , 713.403 , 3.17182 , 275.335 , 80.9577 , 
658 , 720.515 , 3.17831 , 273.781 , 81.5333 , 
659 , 727.688 , 3.18483 , 272.236 , 82.1078 , 
660 , 734.919 , 3.19135 , 270.7 , 82.6808 , 
661 , 742.206 , 3.19789 , 269.175 , 83.2522 , 
662 , 749.547 , 3.20444 , 267.66 , 83.8218 , 
663 , 756.939 , 3.211 , 266.156 , 84.3894 , 
664 , 764.379 , 3.21757 , 264.663 , 84.9546 , 
665 , 771.864 , 3.22414 , 263.18 , 85.5174 , 
