 k  ,   T2_6 ,   T2_100 ,   T2_200 ,   T2_500 ,   T2_1000 , 
2009.02 , 8.49993e-12 , 2.0159e-11 , 5.29782e-14 , 3.05555e-12 , 1.65905e-11 , 
2009.44 , 2.30483e-12 , 1.50361e-11 , 2.12454e-12 , 1.01801e-11 , 7.25992e-12 , 
2009.87 , 3.0355e-14 , 7.08026e-12 , 8.29548e-12 , 1.69384e-11 , 9.27015e-13 , 
2010.3 , 3.48549e-12 , 1.10542e-12 , 1.43551e-11 , 1.91017e-11 , 7.98213e-13 , 
2010.73 , 1.06666e-11 , 4.49179e-13 , 1.61978e-11 , 1.53174e-11 , 6.91646e-12 , 
2011.15 , 1.70543e-11 , 4.85637e-12 , 1.25777e-11 , 7.95923e-12 , 1.61458e-11 , 
2011.58 , 1.85893e-11 , 1.07738e-11 , 5.94294e-12 , 1.62243e-12 , 2.37743e-11 , 
2012.01 , 1.43319e-11 , 1.38345e-11 , 7.95726e-13 , 2.23562e-13 , 2.59153e-11 , 
2012.44 , 7.03117e-12 , 1.18426e-11 , 6.74785e-13 , 4.53783e-12 , 2.14837e-11 , 
2012.86 , 1.24555e-12 , 6.24951e-12 , 5.78036e-12 , 1.17318e-11 , 1.27429e-11 , 
2013.29 , 2.95289e-13 , 1.13112e-12 , 1.28246e-11 , 1.71781e-11 , 4.14413e-12 , 
2013.72 , 4.10952e-12 , 3.75382e-13 , 1.72076e-11 , 1.7397e-11 , 5.55509e-14 , 
2014.15 , 9.406e-12 , 4.98244e-12 , 1.60649e-11 , 1.22577e-11 , 2.53725e-12 , 
2014.57 , 1.20586e-11 , 1.2311e-11 , 1.01582e-11 , 5.04936e-12 , 1.02975e-11 , 
2015 , 1.00223e-11 , 1.77845e-11 , 3.35083e-12 , 3.81019e-13 , 1.93585e-11 , 
2015.43 , 4.8135e-12 , 1.79163e-11 , 3.11867e-14 , 1.25005e-12 , 2.50899e-11 , 
2015.86 , 5.20228e-13 , 1.26235e-11 , 2.20387e-12 , 7.13712e-12 , 2.45695e-11 , 
2016.28 , 1.00001e-12 , 5.28012e-12 , 8.19051e-12 , 1.43354e-11 , 1.80701e-11 , 
2016.71 , 7.15148e-12 , 4.74441e-13 , 1.37966e-11 , 1.83002e-11 , 8.91165e-12 , 
2017.14 , 1.61163e-11 , 9.81199e-13 , 1.51541e-11 , 1.65291e-11 , 1.76215e-12 , 
2017.57 , 2.29749e-11 , 5.97443e-12 , 1.13291e-11 , 1.01428e-11 , 2.5324e-13 , 
2017.99 , 2.3835e-11 , 1.16703e-11 , 4.95238e-12 , 3.17303e-12 , 5.13017e-12 , 
2018.42 , 1.82726e-11 , 1.39491e-11 , 4.49221e-13 , 7.61552e-15 , 1.38778e-11 , 
2018.85 , 9.53038e-12 , 1.11805e-11 , 1.05791e-12 , 2.61622e-12 , 2.20115e-11 , 
2019.28 , 2.36517e-12 , 5.33985e-12 , 6.63131e-12 , 9.3123e-12 , 2.53704e-11 , 
2019.7 , 8.32645e-15 , 6.67014e-13 , 1.36948e-11 , 1.58318e-11 , 2.22415e-11 , 
2020.13 , 2.26474e-12 , 7.69814e-13 , 1.77233e-11 , 1.80382e-11 , 1.42292e-11 , 
2020.56 , 5.98376e-12 , 6.12904e-12 , 1.61249e-11 , 1.45404e-11 , 5.43067e-12 , 
2020.99 , 7.51769e-12 , 1.36882e-11 , 9.94263e-12 , 7.56264e-12 , 3.3827e-13 , 
2021.41 , 5.44319e-12 , 1.88152e-11 , 3.15014e-12 , 1.5241e-12 , 1.54478e-12 , 
2021.84 , 1.65229e-12 , 1.83258e-11 , 1.50222e-14 , 2.32143e-13 , 8.42194e-12 , 
2022.27 , 4.95852e-14 , 1.25563e-11 , 2.2929e-12 , 4.47221e-12 , 1.74467e-11 , 
2022.7 , 3.73072e-12 , 5.10485e-12 , 8.11691e-12 , 1.15198e-11 , 2.40045e-11 , 
2023.13 , 1.25743e-11 , 4.33752e-13 , 1.33109e-11 , 1.68792e-11 , 2.47481e-11 , 
2023.55 , 2.29223e-11 , 9.47223e-13 , 1.42331e-11 , 1.71402e-11 , 1.93037e-11 , 
2023.98 , 2.96363e-11 , 5.50092e-12 , 1.02409e-11 , 1.21408e-11 , 1.04556e-11 , 
2024.41 , 2.92134e-11 , 1.0323e-11 , 4.12373e-12 , 5.06396e-12 , 2.71742e-12 , 
2024.84 , 2.19347e-11 , 1.16964e-11 , 2.19325e-13 , 4.12758e-13 , 2.29696e-14 , 
2025.26 , 1.1642e-11 , 8.5675e-12 , 1.47533e-12 , 1.15141e-12 , 3.71836e-12 , 
2025.69 , 3.31105e-12 , 3.30373e-12 , 7.42655e-12 , 6.82527e-12 , 1.18812e-11 , 
2026.12 , 3.65362e-14 , 8.05363e-14 , 1.44448e-11 , 1.38506e-11 , 2.03114e-11 , 
2026.55 , 1.39946e-12 , 1.98253e-12 , 1.81025e-11 , 1.77877e-11 , 2.46854e-11 , 
2026.97 , 4.2347e-12 , 8.78351e-12 , 1.60772e-11 , 1.61513e-11 , 2.27665e-11 , 
2027.4 , 5.18579e-12 , 1.69195e-11 , 9.67087e-12 , 9.98019e-12 , 1.55446e-11 , 
2027.83 , 3.24386e-12 , 2.17013e-11 , 2.93706e-12 , 3.1726e-12 , 6.72169e-12 , 
2028.26 , 5.07326e-13 , 2.03127e-11 , 4.41976e-15 , 1.28183e-14 , 8.11159e-13 , 
2028.68 , 6.36762e-13 , 1.3609e-11 , 2.38275e-12 , 2.46101e-12 , 8.25934e-13 , 
2029.11 , 6.07228e-12 , 5.53038e-12 , 8.03721e-12 , 8.92152e-12 , 6.73928e-12 , 
