k , T_6  , T_100 , T_200 , T_500 , T_1000 , 
0.927632 , -9.53113e-07 , 7.85905e-177 , 0 , 0 , 0 , 
0.928439 , -9.5796e-07 , 7.74416e-177 , 0 , 0 , 0 , 
0.929248 , -9.62834e-07 , 7.62784e-177 , 0 , 0 , 0 , 
0.930056 , -9.67735e-07 , 7.51009e-177 , 0 , 0 , 0 , 
0.930866 , -9.72663e-07 , 7.39092e-177 , 0 , 0 , 0 , 
0.931676 , -9.77619e-07 , 7.27033e-177 , 0 , 0 , 0 , 
0.932487 , -9.82602e-07 , 7.14834e-177 , 0 , 0 , 0 , 
0.933299 , -9.87612e-07 , 7.02494e-177 , 0 , 0 , 0 , 
0.934111 , -9.9265e-07 , 6.90015e-177 , 0 , 0 , 0 , 
0.934924 , -9.97716e-07 , 6.77398e-177 , 0 , 0 , 0 , 
0.935738 , -1.00281e-06 , 6.64643e-177 , 0 , 0 , 0 , 
0.936552 , -1.00793e-06 , 6.51751e-177 , 0 , 0 , 0 , 
0.937368 , -1.01308e-06 , 6.38722e-177 , 0 , 0 , 0 , 
0.938184 , -1.01826e-06 , 6.25558e-177 , 0 , 0 , 0 , 
0.939 , -1.02347e-06 , 6.12259e-177 , 0 , 0 , 0 , 
0.939817 , -1.02871e-06 , 5.98825e-177 , 0 , 0 , 0 , 
0.940635 , -1.03397e-06 , 5.85259e-177 , 0 , 0 , 0 , 
0.941454 , -1.03926e-06 , 5.7156e-177 , 0 , 0 , 0 , 
0.942274 , -1.04459e-06 , 5.57729e-177 , 0 , 0 , 0 , 
0.943094 , -1.04994e-06 , 5.43768e-177 , 0 , 0 , 0 , 
0.943915 , -1.05532e-06 , 5.29676e-177 , 0 , 0 , 0 , 
0.944736 , -1.06074e-06 , 5.15454e-177 , 0 , 0 , 0 , 
0.945559 , -1.06618e-06 , 5.01104e-177 , 0 , 0 , 0 , 
0.946382 , -1.07165e-06 , 4.86627e-177 , 0 , 0 , 0 , 
0.947205 , -1.07715e-06 , 4.72022e-177 , 0 , 0 , 0 , 
0.94803 , -1.08268e-06 , 4.57291e-177 , 0 , 0 , 0 , 
0.948855 , -1.08825e-06 , 4.42435e-177 , 0 , 0 , 0 , 
0.949681 , -1.09384e-06 , 4.27454e-177 , 0 , 0 , 0 , 
0.950508 , -1.09946e-06 , 4.1235e-177 , 0 , 0 , 0 , 
0.951335 , -1.10512e-06 , 3.97122e-177 , 0 , 0 , 0 , 
0.952163 , -1.11081e-06 , 3.81773e-177 , 0 , 0 , 0 , 
0.952992 , -1.11652e-06 , 3.66303e-177 , 0 , 0 , 0 , 
0.953821 , -1.12227e-06 , 3.50712e-177 , 0 , 0 , 0 , 
0.954651 , -1.12805e-06 , 3.35002e-177 , 0 , 0 , 0 , 
0.955482 , -1.13387e-06 , 3.19173e-177 , 0 , 0 , 0 , 
0.956314 , -1.13971e-06 , 3.03226e-177 , 0 , 0 , 0 , 
0.957147 , -1.14559e-06 , 2.87163e-177 , 0 , 0 , 0 , 
0.95798 , -1.1515e-06 , 2.70983e-177 , 0 , 0 , 0 , 
0.958813 , -1.15744e-06 , 2.54689e-177 , 0 , 0 , 0 , 
0.959648 , -1.16341e-06 , 2.3828e-177 , 0 , 0 , 0 , 
0.960483 , -1.16942e-06 , 2.21758e-177 , 0 , 0 , 0 , 
0.961319 , -1.17546e-06 , 2.05123e-177 , 0 , 0 , 0 , 
0.962156 , -1.18153e-06 , 1.88377e-177 , 0 , 0 , 0 , 
0.962994 , -1.18763e-06 , 1.71521e-177 , 0 , 0 , 0 , 
