k , Pk , 
0.000117731 , 489.636 , 
0.000117833 , 490.047 , 
0.000117936 , 490.458 , 
0.000118039 , 490.869 , 
0.000118141 , 491.281 , 
0.000118244 , 491.693 , 
0.000118347 , 492.106 , 
0.00011845 , 492.519 , 
0.000118553 , 492.932 , 
0.000118656 , 493.346 , 
0.00011876 , 493.76 , 
0.000118863 , 494.174 , 
0.000118966 , 494.589 , 
0.00011907 , 495.004 , 
0.000119174 , 495.419 , 
0.000119277 , 495.835 , 
0.000119381 , 496.251 , 
0.000119485 , 496.667 , 
0.000119589 , 497.084 , 
0.000119693 , 497.501 , 
0.000119797 , 497.918 , 
0.000119902 , 498.336 , 
0.000120006 , 498.754 , 
0.00012011 , 499.173 , 
0.000120215 , 499.591 , 
0.00012032 , 500.011 , 
0.000120424 , 500.43 , 
0.000120529 , 500.85 , 
0.000120634 , 501.27 , 
0.000120739 , 501.691 , 
0.000120844 , 502.112 , 
0.000120949 , 502.533 , 
0.000121055 , 502.955 , 
0.00012116 , 503.377 , 
0.000121265 , 503.799 , 
0.000121371 , 504.222 , 
0.000121477 , 504.645 , 
0.000121582 , 505.068 , 
0.000121688 , 505.492 , 
0.000121794 , 505.916 , 
0.0001219 , 506.34 , 
0.000122006 , 506.765 , 
0.000122112 , 507.19 , 
0.000122219 , 507.616 , 
0.000122325 , 508.042 , 
0.000122432 , 508.468 , 
0.000122538 , 508.895 , 
0.000122645 , 509.322 , 
0.000122752 , 509.749 , 
0.000122858 , 510.177 , 
0.000122965 , 510.605 , 
0.000123072 , 511.033 , 
0.00012318 , 511.462 , 
0.000123287 , 511.891 , 
0.000123394 , 512.32 , 
0.000123501 , 512.75 , 
0.000123609 , 513.18 , 
0.000123717 , 513.611 , 
0.000123824 , 514.042 , 
0.000123932 , 514.473 , 
0.00012404 , 514.905 , 
0.000124148 , 515.337 , 
0.000124256 , 515.769 , 
0.000124364 , 516.202 , 
0.000124472 , 516.635 , 
0.000124581 , 517.068 , 
0.000124689 , 517.502 , 
0.000124798 , 517.936 , 
0.000124906 , 518.371 , 
0.000125015 , 518.805 , 
0.000125124 , 519.241 , 
0.000125233 , 519.676 , 
0.000125342 , 520.112 , 
0.000125451 , 520.549 , 
0.00012556 , 520.985 , 
0.000125669 , 521.422 , 
0.000125779 , 521.86 , 
0.000125888 , 522.298 , 
0.000125998 , 522.736 , 
0.000126107 , 523.174 , 
0.000126217 , 523.613 , 
0.000126327 , 524.053 , 
0.000126437 , 524.492 , 
0.000126547 , 524.932 , 
0.000126657 , 525.373 , 
0.000126767 , 525.813 , 
0.000126878 , 526.254 , 
0.000126988 , 526.696 , 
0.000127099 , 527.138 , 
0.000127209 , 527.58 , 
0.00012732 , 528.023 , 
0.000127431 , 528.466 , 
0.000127542 , 528.909 , 
0.000127653 , 529.353 , 
0.000127764 , 529.797 , 
0.000127875 , 530.241 , 
0.000127986 , 530.686 , 
0.000128098 , 531.131 , 
0.000128209 , 531.577 , 
0.000128321 , 532.023 , 
0.000128433 , 532.469 , 
0.000128544 , 532.916 , 
0.000128656 , 533.363 , 
0.000128768 , 533.81 , 
0.00012888 , 534.258 , 
0.000128993 , 534.706 , 
0.000129105 , 535.155 , 
0.000129217 , 535.604 , 
0.00012933 , 536.053 , 
0.000129442 , 536.503 , 
0.000129555 , 536.953 , 
0.000129668 , 537.403 , 
0.000129781 , 537.854 , 
0.000129894 , 538.305 , 
0.000130007 , 538.757 , 
0.00013012 , 539.209 , 
0.000130233 , 539.661 , 
0.000130346 , 540.114 , 
0.00013046 , 540.567 , 
0.000130573 , 541.02 , 
0.000130687 , 541.474 , 
0.000130801 , 541.928 , 
0.000130915 , 542.383 , 
0.000131029 , 542.838 , 
0.000131143 , 543.293 , 
0.000131257 , 543.749 , 
0.000131371 , 544.205 , 
0.000131485 , 544.662 , 
0.0001316 , 545.118 , 
0.000131714 , 545.576 , 
0.000131829 , 546.033 , 
0.000131944 , 546.491 , 
0.000132059 , 546.95 , 
0.000132174 , 547.409 , 
0.000132289 , 547.868 , 
0.000132404 , 548.327 , 
0.000132519 , 548.787 , 
0.000132634 , 549.248 , 
0.00013275 , 549.708 , 
0.000132865 , 550.169 , 
0.000132981 , 550.631 , 
0.000133097 , 551.093 , 
0.000133213 , 551.555 , 
0.000133329 , 552.018 , 
0.000133445 , 552.481 , 
0.000133561 , 552.944 , 
0.000133677 , 553.408 , 
0.000133793 , 553.872 , 
0.00013391 , 554.337 , 
0.000134026 , 554.802 , 
0.000134143 , 555.267 , 
0.00013426 , 555.733 , 
0.000134377 , 556.199 , 
0.000134494 , 556.666 , 
0.000134611 , 557.133 , 
0.000134728 , 557.6 , 
0.000134845 , 558.068 , 
0.000134962 , 558.536 , 
0.00013508 , 559.004 , 
0.000135198 , 559.473 , 
0.000135315 , 559.942 , 
0.000135433 , 560.412 , 
0.000135551 , 560.882 , 
0.000135669 , 561.353 , 
0.000135787 , 561.823 , 
0.000135905 , 562.295 , 
0.000136023 , 562.766 , 
0.000136142 , 563.238 , 
0.00013626 , 563.711 , 
0.000136379 , 564.184 , 
0.000136498 , 564.657 , 
0.000136616 , 565.13 , 
0.000136735 , 565.604 , 
0.000136854 , 566.079 , 
0.000136973 , 566.554 , 
0.000137093 , 567.029 , 
0.000137212 , 567.504 , 
0.000137331 , 567.98 , 
0.000137451 , 568.457 , 
0.000137571 , 568.934 , 
0.00013769 , 569.411 , 
0.00013781 , 569.888 , 
0.00013793 , 570.366 , 
0.00013805 , 570.845 , 
0.00013817 , 571.323 , 
0.000138291 , 571.803 , 
0.000138411 , 572.282 , 
0.000138532 , 572.762 , 
0.000138652 , 573.243 , 
0.000138773 , 573.723 , 
0.000138894 , 574.205 , 
0.000139014 , 574.686 , 
0.000139135 , 575.168 , 
0.000139257 , 575.651 , 
0.000139378 , 576.133 , 
0.000139499 , 576.617 , 
0.000139621 , 577.1 , 
0.000139742 , 577.584 , 
0.000139864 , 578.069 , 
0.000139985 , 578.554 , 
0.000140107 , 579.039 , 
0.000140229 , 579.524 , 
0.000140351 , 580.01 , 
0.000140473 , 580.497 , 
0.000140596 , 580.984 , 
0.000140718 , 581.471 , 
0.000140841 , 581.959 , 
0.000140963 , 582.447 , 
0.000141086 , 582.935 , 
0.000141209 , 583.424 , 
0.000141332 , 583.913 , 
0.000141455 , 584.403 , 
0.000141578 , 584.893 , 
0.000141701 , 585.384 , 
0.000141824 , 585.875 , 
0.000141948 , 586.366 , 
0.000142071 , 586.858 , 
0.000142195 , 587.35 , 
0.000142319 , 587.843 , 
0.000142443 , 588.336 , 
0.000142567 , 588.829 , 
0.000142691 , 589.323 , 
0.000142815 , 589.817 , 
0.000142939 , 590.312 , 
0.000143064 , 590.807 , 
0.000143188 , 591.302 , 
0.000143313 , 591.798 , 
0.000143438 , 592.295 , 
0.000143562 , 592.791 , 
0.000143687 , 593.288 , 
0.000143812 , 593.786 , 
0.000143938 , 594.284 , 
0.000144063 , 594.782 , 
0.000144188 , 595.281 , 
0.000144314 , 595.78 , 
0.000144439 , 596.28 , 
0.000144565 , 596.78 , 
0.000144691 , 597.28 , 
0.000144817 , 597.781 , 
0.000144943 , 598.283 , 
0.000145069 , 598.784 , 
0.000145195 , 599.287 , 
0.000145322 , 599.789 , 
0.000145448 , 600.292 , 
0.000145575 , 600.796 , 
0.000145702 , 601.299 , 
0.000145828 , 601.804 , 
0.000145955 , 602.308 , 
0.000146082 , 602.813 , 
0.000146209 , 603.319 , 
0.000146337 , 603.825 , 
0.000146464 , 604.331 , 
0.000146592 , 604.838 , 
0.000146719 , 605.345 , 
0.000146847 , 605.853 , 
0.000146975 , 606.361 , 
0.000147103 , 606.869 , 
0.000147231 , 607.378 , 
0.000147359 , 607.888 , 
0.000147487 , 608.397 , 
0.000147615 , 608.908 , 
0.000147744 , 609.418 , 
0.000147873 , 609.929 , 
0.000148001 , 610.441 , 
0.00014813 , 610.953 , 
0.000148259 , 611.465 , 
0.000148388 , 611.978 , 
0.000148517 , 612.491 , 
0.000148647 , 613.004 , 
0.000148776 , 613.518 , 
0.000148905 , 614.033 , 
0.000149035 , 614.548 , 
0.000149165 , 615.063 , 
0.000149295 , 615.579 , 
0.000149425 , 616.095 , 
0.000149555 , 616.612 , 
0.000149685 , 617.129 , 
0.000149815 , 617.646 , 
0.000149945 , 618.164 , 
0.000150076 , 618.682 , 
0.000150207 , 619.201 , 
0.000150337 , 619.72 , 
0.000150468 , 620.24 , 
0.000150599 , 620.76 , 
0.00015073 , 621.281 , 
0.000150861 , 621.802 , 
0.000150993 , 622.323 , 
0.000151124 , 622.845 , 
0.000151256 , 623.367 , 
0.000151387 , 623.89 , 
0.000151519 , 624.413 , 
0.000151651 , 624.936 , 
0.000151783 , 625.46 , 
0.000151915 , 625.985 , 
0.000152047 , 626.51 , 
0.00015218 , 627.035 , 
0.000152312 , 627.561 , 
0.000152445 , 628.087 , 
0.000152577 , 628.614 , 
0.00015271 , 629.141 , 
0.000152843 , 629.668 , 
0.000152976 , 630.196 , 
0.000153109 , 630.725 , 
0.000153243 , 631.253 , 
0.000153376 , 631.783 , 
0.00015351 , 632.312 , 
0.000153643 , 632.843 , 
0.000153777 , 633.373 , 
0.000153911 , 633.904 , 
0.000154045 , 634.436 , 
0.000154179 , 634.968 , 
0.000154313 , 635.5 , 
0.000154447 , 636.033 , 
0.000154582 , 636.566 , 
0.000154716 , 637.1 , 
0.000154851 , 637.634 , 
0.000154986 , 638.169 , 
0.000155121 , 638.704 , 
0.000155256 , 639.239 , 
0.000155391 , 639.775 , 
0.000155526 , 640.312 , 
0.000155661 , 640.848 , 
0.000155797 , 641.386 , 
0.000155932 , 641.924 , 
0.000156068 , 642.462 , 
0.000156204 , 643 , 
0.00015634 , 643.539 , 
0.000156476 , 644.079 , 
0.000156612 , 644.619 , 
0.000156749 , 645.159 , 
0.000156885 , 645.7 , 
0.000157022 , 646.242 , 
0.000157158 , 646.784 , 
0.000157295 , 647.326 , 
0.000157432 , 647.868 , 
0.000157569 , 648.412 , 
0.000157706 , 648.955 , 
0.000157843 , 649.499 , 
0.000157981 , 650.044 , 
0.000158118 , 650.589 , 
0.000158256 , 651.134 , 
0.000158394 , 651.68 , 
0.000158532 , 652.226 , 
0.00015867 , 652.773 , 
0.000158808 , 653.321 , 
0.000158946 , 653.868 , 
0.000159084 , 654.416 , 
0.000159223 , 654.965 , 
0.000159361 , 655.514 , 
0.0001595 , 656.064 , 
0.000159639 , 656.614 , 
0.000159778 , 657.164 , 
0.000159917 , 657.715 , 
0.000160056 , 658.266 , 
0.000160195 , 658.818 , 
0.000160335 , 659.371 , 
0.000160474 , 659.923 , 
0.000160614 , 660.477 , 
0.000160754 , 661.03 , 
0.000160894 , 661.584 , 
0.000161034 , 662.139 , 
0.000161174 , 662.694 , 
