z , j_6 , j_100 , j_200 , j_500 , j_1000 , 
286.657 , 0.00261112 , 0.000971715 , 0.00368343 , 0 , 0 , 
286.857 , 0.00301667 , 0.000307926 , 0.00337724 , 0 , 0 , 
287.057 , 0.0033015 , -0.000365716 , 0.00300252 , 0 , 0 , 
287.257 , 0.00345439 , -0.00102562 , 0.00256694 , 0 , 0 , 
287.457 , 0.00346945 , -0.00164872 , 0.00207941 , 0 , 0 , 
287.658 , 0.0033463 , -0.00221324 , 0.00154994 , 0 , 0 , 
287.858 , 0.00309004 , -0.00269952 , 0.000989394 , 0 , 0 , 
288.058 , 0.00271105 , -0.00309061 , 0.000409294 , 0 , 0 , 
288.258 , 0.00222456 , -0.00337292 , -0.000178423 , 0 , 0 , 
288.458 , 0.00165013 , -0.00353668 , -0.000761642 , 0 , 0 , 
288.658 , 0.00101078 , -0.00357634 , -0.00132834 , 0 , 0 , 
288.858 , 0.000332048 , -0.00349065 , -0.0018668 , 0 , 0 , 
289.058 , -0.000358979 , -0.00328275 , -0.0023659 , 0 , 0 , 
289.258 , -0.00103475 , -0.00296004 , -0.0028153 , 0 , 0 , 
289.458 , -0.00166835 , -0.00253401 , -0.00320569 , 0 , 0 , 
289.658 , -0.00223463 , -0.00201973 , -0.00352897 , 0 , 0 , 
289.858 , -0.00271112 , -0.00143533 , -0.00377843 , 0 , 0 , 
290.058 , -0.00307896 , -0.000801375 , -0.00394888 , 0 , 0 , 
290.258 , -0.00332361 , -0.000140176 , -0.00403677 , 0 , 0 , 
290.458 , -0.00343552 , 0.000525023 , -0.00404029 , 0 , 0 , 
290.658 , -0.00341045 , 0.00117088 , -0.00395938 , 0 , 0 , 
290.858 , -0.00324957 , 0.00177475 , -0.00379574 , 0 , 0 , 
291.058 , -0.00295944 , 0.00231548 , -0.0035528 , 0 , 0 , 
291.258 , -0.00255181 , 0.00277414 , -0.00323566 , 0 , 0 , 
291.458 , -0.00204308 , 0.00313472 , -0.00285101 , 0 , 0 , 
291.658 , -0.00145369 , 0.0033847 , -0.00240695 , 0 , 0 , 
291.858 , -0.000807187 , 0.00351542 , -0.00191282 , 0 , 0 , 
292.058 , -0.000129407 , 0.0035224 , -0.00137904 , 0 , 0 , 
292.258 , 0.000552597 , 0.00340555 , -0.000816893 , 0 , 0 , 
292.458 , 0.00121164 , 0.00316913 , -0.000238257 , 0 , 0 , 
292.659 , 0.00182153 , 0.00282161 , 0.000344626 , 0 , 0 , 
292.859 , 0.00235804 , 0.00237534 , 0.000919412 , 0 , 0 , 
293.059 , 0.00279987 , 0.00184612 , 0.00147391 , 0 , 0 , 
293.259 , 0.00312954 , 0.00125265 , 0.00199636 , 0 , 0 , 
293.459 , 0.00333409 , 0.000615929 , 0.00247564 , 0 , 0 , 
293.659 , 0.00340557 , -4.15996e-05 , 0.00290159 , 0 , 0 , 
293.859 , 0.0033413 , -0.000696775 , 0.00326512 , 0 , 0 , 
294.059 , 0.00314399 , -0.00132653 , 0.0035585 , 0 , 0 , 
294.259 , 0.00282169 , -0.0019087 , 0.00377546 , 0 , 0 , 
