  x  ,    Xe  ,   ne   , 
-45.9067 , 1.25242e-25 , 2.04222e+34 , 
-45.9062 , 1.25242e-25 , 2.03909e+34 , 
-45.9057 , 1.25242e-25 , 2.03597e+34 , 
-45.9052 , 1.25242e-25 , 2.03285e+34 , 
-45.9047 , 1.25242e-25 , 2.02974e+34 , 
-45.9042 , 1.25242e-25 , 2.02664e+34 , 
-45.9037 , 1.25242e-25 , 2.02353e+34 , 
-45.9031 , 1.25242e-25 , 2.02044e+34 , 
-45.9026 , 1.25242e-25 , 2.01735e+34 , 
-45.9021 , 1.25242e-25 , 2.01426e+34 , 
-45.9016 , 1.25242e-25 , 2.01118e+34 , 
-45.9011 , 1.25242e-25 , 2.0081e+34 , 
-45.9006 , 1.25242e-25 , 2.00502e+34 , 
-45.9001 , 1.25242e-25 , 2.00196e+34 , 
-45.8996 , 1.25242e-25 , 1.99889e+34 , 
-45.8991 , 1.25242e-25 , 1.99583e+34 , 
-45.8985 , 1.25242e-25 , 1.99278e+34 , 
-45.898 , 1.25242e-25 , 1.98973e+34 , 
-45.8975 , 1.25242e-25 , 1.98668e+34 , 
-45.897 , 1.25242e-25 , 1.98364e+34 , 
-45.8965 , 1.25242e-25 , 1.98061e+34 , 
-45.896 , 1.25242e-25 , 1.97758e+34 , 
-45.8955 , 1.25242e-25 , 1.97455e+34 , 
-45.895 , 1.25242e-25 , 1.97153e+34 , 
-45.8945 , 1.25242e-25 , 1.96851e+34 , 
-45.894 , 1.25242e-25 , 1.9655e+34 , 
-45.8934 , 1.25242e-25 , 1.96249e+34 , 
-45.8929 , 1.25242e-25 , 1.95949e+34 , 
-45.8924 , 1.25242e-25 , 1.95649e+34 , 
-45.8919 , 1.25242e-25 , 1.95349e+34 , 
-45.8914 , 1.25242e-25 , 1.95051e+34 , 
-45.8909 , 1.25242e-25 , 1.94752e+34 , 
-45.8904 , 1.25242e-25 , 1.94454e+34 , 
-45.8899 , 1.25242e-25 , 1.94156e+34 , 
-45.8894 , 1.25242e-25 , 1.93859e+34 , 
-45.8888 , 1.25242e-25 , 1.93563e+34 , 
-45.8883 , 1.25242e-25 , 1.93266e+34 , 
-45.8878 , 1.25242e-25 , 1.92971e+34 , 
-45.8873 , 1.25242e-25 , 1.92675e+34 , 
-45.8868 , 1.25242e-25 , 1.9238e+34 , 
-45.8863 , 1.25242e-25 , 1.92086e+34 , 
-45.8858 , 1.25242e-25 , 1.91792e+34 , 
-45.8853 , 1.25242e-25 , 1.91498e+34 , 
-45.8848 , 1.25242e-25 , 1.91205e+34 , 
-45.8843 , 1.25242e-25 , 1.90913e+34 , 
-45.8837 , 1.25242e-25 , 1.90621e+34 , 
-45.8832 , 1.25242e-25 , 1.90329e+34 , 
-45.8827 , 1.25242e-25 , 1.90038e+34 , 
-45.8822 , 1.25242e-25 , 1.89747e+34 , 
-45.8817 , 1.25242e-25 , 1.89456e+34 , 
-45.8812 , 1.25242e-25 , 1.89166e+34 , 
-45.8807 , 1.25242e-25 , 1.88877e+34 , 
-45.8802 , 1.25242e-25 , 1.88588e+34 , 
-45.8797 , 1.25242e-25 , 1.88299e+34 , 
-45.8791 , 1.25242e-25 , 1.88011e+34 , 
-45.8786 , 1.25242e-25 , 1.87723e+34 , 
-45.8781 , 1.25242e-25 , 1.87436e+34 , 
-45.8776 , 1.25242e-25 , 1.87149e+34 , 
-45.8771 , 1.25242e-25 , 1.86863e+34 , 
-45.8766 , 1.25242e-25 , 1.86577e+34 , 
-45.8761 , 1.25242e-25 , 1.86291e+34 , 
-45.8756 , 1.25242e-25 , 1.86006e+34 , 
-45.8751 , 1.25242e-25 , 1.85722e+34 , 
-45.8746 , 1.25242e-25 , 1.85437e+34 , 
-45.874 , 1.25242e-25 , 1.85154e+34 , 
-45.8735 , 1.25242e-25 , 1.8487e+34 , 
-45.873 , 1.25242e-25 , 1.84587e+34 , 
-45.8725 , 1.25242e-25 , 1.84305e+34 , 
-45.872 , 1.25242e-25 , 1.84023e+34 , 
-45.8715 , 1.25242e-25 , 1.83741e+34 , 
-45.871 , 1.25242e-25 , 1.8346e+34 , 
-45.8705 , 1.25242e-25 , 1.83179e+34 , 
-45.87 , 1.25242e-25 , 1.82899e+34 , 
-45.8694 , 1.25242e-25 , 1.82619e+34 , 
-45.8689 , 1.25242e-25 , 1.82339e+34 , 
-45.8684 , 1.25242e-25 , 1.8206e+34 , 
-45.8679 , 1.25242e-25 , 1.81782e+34 , 
-45.8674 , 1.25242e-25 , 1.81503e+34 , 
-45.8669 , 1.25242e-25 , 1.81226e+34 , 
-45.8664 , 1.25242e-25 , 1.80948e+34 , 
-45.8659 , 1.25242e-25 , 1.80671e+34 , 
-45.8654 , 1.25242e-25 , 1.80395e+34 , 
-45.8649 , 1.25242e-25 , 1.80119e+34 , 
-45.8643 , 1.25242e-25 , 1.79843e+34 , 
-45.8638 , 1.25242e-25 , 1.79568e+34 , 
