 ell ,  cell_TT , 
697 , 3238.19 , 
698 , 3247.16 , 
699 , 3255.87 , 
700 , 3264.29 , 
701 , 3272.43 , 
702 , 3280.27 , 
703 , 3287.83 , 
704 , 3295.1 , 
705 , 3302.08 , 
706 , 3308.76 , 
707 , 3315.15 , 
708 , 3321.24 , 
709 , 3327.03 , 
710 , 3332.53 , 
711 , 3337.72 , 
712 , 3342.62 , 
713 , 3347.21 , 
714 , 3351.5 , 
715 , 3355.48 , 
716 , 3359.16 , 
717 , 3362.53 , 
718 , 3365.59 , 
719 , 3368.35 , 
720 , 3370.79 , 
721 , 3372.92 , 
722 , 3374.74 , 
723 , 3376.24 , 
724 , 3377.43 , 
725 , 3378.3 , 
726 , 3378.86 , 
727 , 3379.09 , 
728 , 3379.01 , 
729 , 3378.6 , 
730 , 3377.88 , 
731 , 3376.83 , 
732 , 3375.45 , 
733 , 3373.75 , 
734 , 3371.73 , 
735 , 3369.38 , 
736 , 3366.7 , 
737 , 3363.69 , 
738 , 3360.35 , 
739 , 3356.67 , 
740 , 3352.67 , 
741 , 3348.33 , 
742 , 3343.66 , 
743 , 3338.65 , 
744 , 3333.31 , 
745 , 3327.63 , 
746 , 3321.61 , 
747 , 3315.25 , 
748 , 3308.55 , 
749 , 3301.51 , 
750 , 3294.13 , 
751 , 3286.41 , 
752 , 3278.35 , 
753 , 3269.95 , 
754 , 3261.23 , 
755 , 3252.17 , 
756 , 3242.8 , 
757 , 3233.11 , 
758 , 3223.11 , 
759 , 3212.81 , 
760 , 3202.2 , 
761 , 3191.29 , 
762 , 3180.09 , 
763 , 3168.6 , 
764 , 3156.84 , 
765 , 3144.79 , 
766 , 3132.47 , 
767 , 3119.88 , 
768 , 3107.04 , 
769 , 3093.93 , 
770 , 3080.58 , 
771 , 3066.98 , 
772 , 3053.14 , 
773 , 3039.07 , 
774 , 3024.77 , 
775 , 3010.24 , 
776 , 2995.5 , 
777 , 2980.55 , 
778 , 2965.39 , 
779 , 2950.04 , 
780 , 2934.49 , 
781 , 2918.76 , 
782 , 2902.84 , 
783 , 2886.76 , 
784 , 2870.5 , 
785 , 2854.09 , 
786 , 2837.52 , 
787 , 2820.8 , 
788 , 2803.94 , 
789 , 2786.95 , 
790 , 2769.83 , 
791 , 2752.59 , 
792 , 2735.24 , 
793 , 2717.78 , 
794 , 2700.22 , 
795 , 2682.57 , 
796 , 2664.84 , 
797 , 2647.02 , 
798 , 2629.14 , 
799 , 2611.2 , 
800 , 2593.2 , 
801 , 2575.16 , 
802 , 2557.07 , 
803 , 2538.95 , 
804 , 2520.79 , 
805 , 2502.6 , 
806 , 2484.4 , 
807 , 2466.17 , 
808 , 2447.94 , 
809 , 2429.69 , 
810 , 2411.45 , 
811 , 2393.21 , 
812 , 2374.97 , 
813 , 2356.75 , 
814 , 2338.55 , 
815 , 2320.38 , 
816 , 2302.23 , 
817 , 2284.12 , 
818 , 2266.05 , 
819 , 2248.03 , 
820 , 2230.06 , 
821 , 2212.15 , 
822 , 2194.3 , 
823 , 2176.52 , 
824 , 2158.82 , 
825 , 2141.2 , 
826 , 2123.67 , 
827 , 2106.23 , 
828 , 2088.89 , 
829 , 2071.65 , 
830 , 2054.53 , 
831 , 2037.52 , 
832 , 2020.64 , 
833 , 2003.89 , 
834 , 1987.28 , 
835 , 1970.81 , 
836 , 1954.49 , 
837 , 1938.33 , 
838 , 1922.32 , 
839 , 1906.49 , 
840 , 1890.84 , 
841 , 1875.37 , 
842 , 1860.08 , 
843 , 1845 , 
844 , 1830.12 , 
845 , 1815.44 , 
846 , 1800.99 , 
847 , 1786.76 , 
848 , 1772.76 , 
849 , 1759 , 
850 , 1745.48 , 
851 , 1732.22 , 
852 , 1719.21 , 
853 , 1706.45 , 
854 , 1693.95 , 
855 , 1681.7 , 
856 , 1669.7 , 
857 , 1657.96 , 
858 , 1646.47 , 
859 , 1635.24 , 
860 , 1624.26 , 
861 , 1613.54 , 
862 , 1603.07 , 
863 , 1592.85 , 
864 , 1582.89 , 
865 , 1573.19 , 
866 , 1563.74 , 
867 , 1554.54 , 
868 , 1545.6 , 
869 , 1536.91 , 
870 , 1528.48 , 
871 , 1520.31 , 
872 , 1512.39 , 
873 , 1504.72 , 
874 , 1497.31 , 
875 , 1490.15 , 
876 , 1483.25 , 
877 , 1476.6 , 
878 , 1470.2 , 
879 , 1464.06 , 
880 , 1458.17 , 
881 , 1452.54 , 
882 , 1447.16 , 
883 , 1442.03 , 
884 , 1437.16 , 
885 , 1432.54 , 
886 , 1428.17 , 
887 , 1424.05 , 
888 , 1420.19 , 
889 , 1416.57 , 
890 , 1413.21 , 
891 , 1410.1 , 
892 , 1407.24 , 
893 , 1404.63 , 
894 , 1402.27 , 
895 , 1400.16 , 
896 , 1398.3 , 
897 , 1396.68 , 
898 , 1395.32 , 
899 , 1394.2 , 
900 , 1393.33 , 
901 , 1392.71 , 
902 , 1392.33 , 
903 , 1392.19 , 
904 , 1392.28 , 
905 , 1392.61 , 
906 , 1393.16 , 
907 , 1393.94 , 
908 , 1394.94 , 
909 , 1396.15 , 
910 , 1397.57 , 
911 , 1399.2 , 
912 , 1401.03 , 
913 , 1403.06 , 
914 , 1405.28 , 
915 , 1407.7 , 
916 , 1410.29 , 
917 , 1413.07 , 
918 , 1416.03 , 
919 , 1419.15 , 
920 , 1422.44 , 
921 , 1425.9 , 
922 , 1429.51 , 
923 , 1433.28 , 
924 , 1437.19 , 
925 , 1441.24 , 
926 , 1445.44 , 
927 , 1449.76 , 
928 , 1454.22 , 
929 , 1458.8 , 
930 , 1463.49 , 
931 , 1468.3 , 
932 , 1473.21 , 
933 , 1478.23 , 
934 , 1483.35 , 
935 , 1488.55 , 
936 , 1493.84 , 
937 , 1499.22 , 
938 , 1504.66 , 
939 , 1510.18 , 
940 , 1515.76 , 
941 , 1521.4 , 
942 , 1527.09 , 
943 , 1532.83 , 
944 , 1538.61 , 
945 , 1544.43 , 
946 , 1550.27 , 
947 , 1556.14 , 
948 , 1562.02 , 
949 , 1567.92 , 
950 , 1573.82 , 
951 , 1579.72 , 
952 , 1585.62 , 
953 , 1591.51 , 
954 , 1597.39 , 
955 , 1603.26 , 
956 , 1609.11 , 
957 , 1614.94 , 
958 , 1620.75 , 
959 , 1626.53 , 
960 , 1632.29 , 
961 , 1638.01 , 
962 , 1643.7 , 
963 , 1649.35 , 
964 , 1654.96 , 
965 , 1660.53 , 
966 , 1666.05 , 
967 , 1671.51 , 
968 , 1676.93 , 
969 , 1682.28 , 
970 , 1687.57 , 
971 , 1692.8 , 
972 , 1697.96 , 
973 , 1703.05 , 
974 , 1708.07 , 
975 , 1713 , 
976 , 1717.85 , 
977 , 1722.62 , 
978 , 1727.3 , 
979 , 1731.88 , 
980 , 1736.37 , 
981 , 1740.76 , 
982 , 1745.04 , 
983 , 1749.22 , 
